start-x	start-y	end-x	end-y	distance
2257.8571	410.78571	2227.5	405.42857	64.85070915015537
1544.1696	1473.9463	1549.2788	1473.7258	10.757418103887645
1544.1696	1473.9463	1525.5089	1473.7131	38.9609853275652
1544.1696	1473.9463	1543.9363	1485.6093	24.3488451
2292.3712	1172.8921	2300.2685	1157.0975	37.26875502246252
2292.3712	1172.8921	2282.1765	1187.2508	36.69541892038857
2034.5514	1940.4564	2034.5035	1945.0018	9.589953811780626
2034.5514	1940.4564	2033.7858	1937.3941	6.760869290845395
2034.5514	1940.4564	2040.4844	1940.2171	12.59245182170184
1590.8037	1419.0007	1578.4552	1410.9598	30.601210031985268
1590.8037	1419.0007	1612.0546	1433.9338	53.66580753043869
2669.2851	315.82665	2588.6273	0.23281279	680.0429218250611
2669.2851	315.82665	2695.2688	466.85698	320.8631481566394
1851.6102	2082.7191	1651.5897	1935.4781	518.4044720971887
1851.6102	2082.7191	1848.0915	2091.651	20.568707888545354
1851.6102	2082.7191	1933.0799	2143.6184	213.93341305012711
2074.6428	871.85716	2011.0714	805.07144	191.98192388789099
2074.6428	871.85716	2141.7857	805.78573	196.67216156685373
2074.6428	871.85716	2061.0714	886.14287	41.13693038128743
2074.6428	871.85716	2081.9199	878.25231	22.0447253768001
1697.1429	858.28571	1711.4286	841.5	46.587009056022175
1697.1429	858.28571	1718.9286	910.78571	119.84113987863317
1697.1429	858.28571	1605.0	803.64286	221.98571341602448
1697.1429	858.28571	1610.0	878.28571	186.65818555509173
1697.1429	858.28571	1760.9978	846.28645	136.97476778155402
1715.274	2061.3845	1709.9944	2058.5416	13.093974862784522
1715.274	2061.3845	1719.1322	2064.8366	10.530311665224652
2115.2594	1785.6571	2106.609	1791.7478	21.657539764647566
2115.2594	1785.6571	2128.2359	1777.2023	32.48511619249374
2115.2594	1785.6571	2108.6934	1778.0809	21.738137096439118
1846.4286	1116.5	1872.1428	1098.6429	64.32123811299351
1846.4286	1116.5	1851.0714	1054.3572	130.09732568213937
1846.4286	1116.5	1871.8126	1140.7505	73.33142401257338
1846.4286	1116.5	1801.4286	1076.8572	123.5909486508482
1846.4286	1116.5	1810.7143	1129.0	78.0468185026324
2542.0732	736.438	2538.8252	705.58234	69.27054396057585
2542.0732	736.438	2501.4736	732.6487	85.36787357753238
2542.0732	736.438	2544.4597	816.01311	165.11202064365784
1521.7857	877.92857	1528.2143	889.71429	28.02733120299753
1521.7857	877.92857	1510.435	877.48676	22.389608103812368
1521.7857	877.92857	1557.5	877.92857	74.56447199146308
2605.0642	1847.9801	2615.098	1802.2459	97.22066445842921
2605.0642	1847.9801	2609.0028	1856.2456	21.51695716504506
1851.8808	1812.5967	1888.6911	1796.8983	83.54551664019554
1851.8808	1812.5967	1858.1352	1826.1663	31.36359990256617
1851.8808	1812.5967	1820.8155	1755.8349	135.52590981354396
1851.8808	1812.5967	1827.8116	1822.4342	53.71732787412915
2273.9286	547.57143	2346.0714	593.28573	177.75187026940534
2273.9286	547.57143	2269.6429	540.42857	17.018732849675587
1489.1915	1777.9518	1474.0343	1813.6794	81.02326081504053
1489.1915	1777.9518	1497.8527	1829.9192	105.73199904743144
1489.1915	1777.9518	1489.1915	1756.2987	50.86850859614001
2376.8889	979.63119	2377.9704	999.66909	41.24440172381409
2376.8889	979.63119	2369.8179	964.40305	35.86667848511508
2376.8889	979.63119	2394.8191	976.60073	37.13513609506302
1889.7428	1159.1858	1876.6109	1165.2467	27.14052342877539
1889.7428	1159.1858	1871.8126	1140.7505	48.85022565329889
